Id,Rating,Description,Current Mentees Count,Overall Mentees Count,Email,Status,Last Active,Name,Institution,Training Center
35879e06-2923-43eb-8b4a-dde6e35300e2,0.0,Mentor for Cypress testing,0,0,price28@yahoo.com,DISABLED,2026-04-14T23:02:57.956915+00:00,Wilhelm Fritsch,Lekki uni,Lekki
afbe0bdd-6684-4d4d-9409-f2a32c7ea658,0.0,Mentor for Cypress testing,0,0,myron67@hotmail.com,DISABLED,2026-04-14T23:01:58.347902+00:00,Mariah Johns,Lekki uni,Lekki
79ba22a1-d9e0-438d-ab3b-a1bc5ae520da,0.0,Mentor for Cypress testing,0,0,anabel90@hotmail.com,DISABLED,2026-04-14T22:55:39.001757+00:00,Chelsea Frami-Macejkovic,Lekki uni,Lekki
db0697ca-680d-41d8-a51b-e031afc82afd,0.0,Mentor for Cypress testing,0,0,naomie_konopelski@yahoo.com,DISABLED,2026-04-14T22:54:58.095966+00:00,Erik Hamill,Lekki uni,Lekki
84bf3075-aa9f-479e-b2d1-e2b2a3107846,0.0,Techie,4,4,abraham@yopmail.com,ACTIVE,2026-03-12T11:27:01.602416+00:00,Abraham Opeyemi,Lopez LLC University 36,FCT Training Center 193
e0f84670-d231-4c08-ac25-017460996e0b,0.0,Pastor,1,1,munathan@yopmail.com,ACTIVE,2026-01-20T09:36:24.414730+00:00,Muna Nathan,University,National open University Nsuka Training center 2
888a9920-fb7f-4456-b786-d20cc2b6001b,0.0,John,1,1,johnpp@yopmail.com,ACTIVE,2025-12-24T11:53:02.037722+00:00,John John,University of Abuja,University of Abuja
e08cd66f-9162-4a28-87f3-96922966cb67,0.0,Description,0,0,vicathosso@yopmail.com,ACTIVE,2025-12-15T11:25:52.972082+00:00,Victoria Bosso,Barber and Sons Polytechnic 28,BENUE Training Center 165
39b6368b-e452-4f96-8732-bdd6ac1b78b6,0.0,West is good,0,0,west@yopmail.com,ACTIVE,2025-12-05T12:47:49.967663+00:00,West West,"Castro, Morris and Allen Polytechnic 1",Castro Morris
6fcc42d4-b28f-452f-ba1d-ad0f396d6c95,0.0,Daniel is good,0,0,doe@yopmail.com,DISABLED,2025-12-05T07:44:35.492944+00:00,Daniel Doe,"Castro, Morris and Allen Polytechnic 1",Castro Morris
09c15411-04ec-4faa-b811-c2713369933a,2.0,Character teach message address each house staff.,0,6,adeola.okafor870950@example.ng,INACTIVE,2025-12-01T10:01:44.776063+00:00,Adeola Okafor,Lopez LLC College 11,"Garrett, Smith and Owen"
c572b636-3b54-40de-af43-9dd962d88d9e,2.7,Catch fall wife admit be animal. Both shoulder everything spend.,0,3,chinedu.okafor283896@example.ng,INACTIVE,2025-12-01T10:01:43.895189+00:00,Chinedu Okafor,"Wright, Anderson and Brown Polytechnic 10",Jimenez-Campbell
c86e5470-ce7b-4126-adda-21d511215e16,3.9,Director unit I head education final art.,0,4,funke.mohammed846029@yahoo.com,INACTIVE,2025-12-01T10:01:43.068876+00:00,Funke Mohammed,Davis Group University 9,"Nelson, Byrd and Paul"
761729dd-3bed-4946-897c-a409e7689b8a,3.0,"Bring seek body fine. Loss just benefit song manager make world.
A store would technology.",0,4,adeola.okafor323834@gmail.com,DISABLED,2025-12-01T10:01:42.211671+00:00,Adeola Okafor,Donovan LLC College 8,Morales LLC
df5d03e2-b669-41a2-9668-173f323a701c,1.1,Rich in car lead particular air. Our administration staff popular national nothing offer language.,0,2,ngozi.nwosu247387@example.ng,ACTIVE,2025-12-01T10:01:41.361651+00:00,Ngozi Nwosu,Mejia Ltd Polytechnic 7,Stevens and Sons
2b8f7f2a-d8a9-4d02-ab02-fcf030f2a599,3.7,State today one. Plant per team their. Might population money course anyone foreign race.,0,4,tunde.nwosu533898@yahoo.com,INACTIVE,2025-12-01T10:01:40.473908+00:00,Tunde Nwosu,"Lee, Smith and Lewis University 6",Allen-Sawyer
a526bab0-780d-4c4b-ba2f-859a1302b931,1.4,East data poor reflect war Mr. Process career day brother. Effect too management program eye.,0,8,biola.nwosu613646@yahoo.com,INACTIVE,2025-12-01T10:01:39.092061+00:00,Biola Nwosu,"Gonzalez, Brooks and Gay College 5","Gray, Tran and Lindsey"
376d9ae3-4fde-4939-a088-49f22e3ffbec,1.2,Tonight from national thousand. Trade high you benefit tough then know. On ready through.,0,7,funke.nwosu672086@example.ng,ACTIVE,2025-12-01T10:01:38.171539+00:00,Funke Nwosu,Holden Inc Polytechnic 4,Lewis and Sons
bc81d6e7-2bf5-4fa3-a78e-cc01f8ada454,0.9,Card oil agree civil argue. System instead friend north. Range share her.,0,3,funke.chukwu170209@gmail.com,DISABLED,2025-12-01T10:01:37.241759+00:00,Funke Chukwu,"Henderson, Welch and Perez University 3",Price Ltd
4b506191-818c-4e33-9e9d-21fd6924e92b,2.7,Doctor manager much. Evidence expect significant easy.,0,9,biola.ogunleye299955@hotmail.com,ACTIVE,2025-12-01T10:01:36.335098+00:00,Biola Ogunleye,Lawson-Smith College 2,"Murray, Browning and Shannon"
